,epoch,loss,accuracy,top_k_acc,val_loss,val_accuracy,val_top_k_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,config/data_loader;args;batch_size,config/optimizer;args;lr,config/optimizer;type,logdir
10,87,4.489110033562842,0.0232269503546099,0.0673537234042553,172.732023987589,0.0130537974683544,0.0290743670886075,10.188176393508911,False,,,87,97b33_00010,0fe6166cca874f60a60795d2a7696552,2022-04-06_14-35-14,1649270114,889.850456237793,3940968,guanyush-RTX3060,10.70.2.70,889.850456237793,0,87,64,0.1,Adam,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00010_10_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-06_14-06-06"
11,92,4.29775235388014,0.0402560763888888,0.1071397569444444,4.533185696601867,0.0260799632352941,0.0719784007352941,8.580113649368286,False,,,92,97b33_00011,0cd67e6edc8846a290ee6ed35fd41f0b,2022-04-06_14-50-43,1649271043,793.0035367012024,3940970,guanyush-RTX3060,10.70.2.70,793.0035367012024,0,92,256,0.1,Adam,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00011_11_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-06_14-20-24"
12,84,0.0841623959230615,0.9960549645390072,0.9998891843971632,4.6611418874957895,0.1230221518987341,0.2780854430379746,9.867576599121094,False,,,84,97b33_00012,08759b81f1e04167af725cdfcf4c45a5,2022-04-06_15-05-51,1649271951,835.5838689804077,3940978,guanyush-RTX3060,10.70.2.70,835.5838689804077,0,84,64,0.001,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00012_12_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-06_14-37-30"
13,100,1.6958680351575215,0.6053602430555556,0.8022352430555555,4.006210637092591,0.0976447610294117,0.2427159926470588,8.402877807617188,False,,,100,97b33_00013,9bbcc20ca8e14e9492d12a416afd3d16,2022-04-06_15-22-30,1649272950,837.4913420677185,3940973,guanyush-RTX3060,10.70.2.70,837.4913420677185,0,100,256,0.001,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00013_13_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-06_14-51-55"
14,70,0.0241419406449224,0.9981161347517732,1.0,4.756546283070045,0.1530854430379747,0.3105221518987341,9.778494119644163,False,,,70,97b33_00014,6a55e86e004749318a6e9e5d6a03413b,2022-04-06_15-34-03,1649273643,689.3819885253906,3940971,guanyush-RTX3060,10.70.2.70,689.3819885253906,0,70,64,0.01,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00014_14_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-06_15-08-32"
15,100,0.0129514837301232,0.9992404513888888,1.0,4.926602125167847,0.1245863970588235,0.2714154411764706,8.418265342712402,False,,,100,97b33_00015,fa8550eb95d741ea9e1e30ad3286c43a,2022-04-06_15-53-00,1649274780,838.9737963676453,3940979,guanyush-RTX3060,10.70.2.70,838.9737963676453,0,100,256,0.01,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00015_15_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-06_15-22-33"
16,99,0.3282217750629634,0.9056737588652484,0.9862810283687944,5.388537950153593,0.1309335443037974,0.2887658227848101,9.82761836051941,False,,,99,97b33_00016,5a812bf7ee7e42aabc84ca92df340e3c,2022-04-06_16-09-19,1649275759,976.3015427589417,17064,guanyush-RTX3060,10.70.2.70,976.3015427589417,0,99,64,0.1,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00016_16_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-06_15-39-00"
17,96,0.0157498774222201,0.9988064236111112,1.0,4.618967080116272,0.1320082720588235,0.2810431985294118,8.362167119979858,False,,,96,97b33_00017,373278bee8ee4d9b8e671603cd6a4d67,2022-04-06_16-22-58,1649276578,806.3063838481903,33735,guanyush-RTX3060,10.70.2.70,806.3063838481903,0,96,256,0.1,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00017_17_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-06_15-53-02"
18,99,1.3722612781727568,0.5908244680851065,0.8342198581560284,4.095944377440441,0.1412183544303797,0.3314873417721519,10.1389000415802,False,,,99,97b33_00018,fb32ba9fa4914c8eb79873268657c891,2022-04-06_16-40-20,1649277620,1004.4630270004272,52027,guanyush-RTX3060,10.70.2.70,1004.4630270004272,0,99,64,0.001,Adam,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00018_18_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-06_16-09-31"
19,93,0.1477704753892289,0.9666449652777778,0.9972873263888888,4.977784276008606,0.1417279411764705,0.3310776654411764,8.44144320487976,False,,,93,97b33_00019,3cab0c6bbf4a48da96cde6ac324dc8cf,2022-04-06_16-53-42,1649278422,788.9222576618195,68622,guanyush-RTX3060,10.70.2.70,788.9222576618195,0,93,256,0.001,Adam,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00019_19_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-06_16-23-35"
20,94,3.927045333470013,0.0752437943262411,0.1896498226950354,3.996207831781122,0.066257911392405,0.1722705696202531,10.10802674293518,False,,,94,97b33_00020,eebc85dafa6340068c8187efc2f70f5f,2022-04-06_17-10-39,1649279439,954.4861407279968,86778,guanyush-RTX3060,10.70.2.70,954.4861407279968,0,94,64,0.01,Adam,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00020_20_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-06_16-40-33"
21,97,3.6436596976386175,0.1050130208333333,0.2510199652777778,3.860894513130188,0.0788028492647058,0.1942784926470588,8.404853582382202,False,,,97,97b33_00021,c13ecf908ffd4e9a827cbc8caaf3093f,2022-04-06_17-25-25,1649280325,821.9411661624908,103373,guanyush-RTX3060,10.70.2.70,821.9411661624908,0,97,256,0.01,Adam,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00021_21_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-06_16-54-44"
22,87,4.489110033562842,0.0232269503546099,0.0673537234042553,172.732023987589,0.0130537974683544,0.0290743670886075,10.1060311794281,False,,,87,97b33_00022,e8c461a483fb41289a3ac692302091af,2022-04-06_17-40-39,1649281239,885.0501642227173,121525,guanyush-RTX3060,10.70.2.70,885.0501642227173,0,87,64,0.1,Adam,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00022_22_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-06_17-11-43"
23,92,4.29775235388014,0.0402560763888888,0.1071397569444444,4.533185696601867,0.0260799632352941,0.0719784007352941,8.431282997131348,False,,,92,97b33_00023,c9df3acbce25406bb018599bbcd49b90,2022-04-06_17-55-57,1649282157,782.9317743778229,137865,guanyush-RTX3060,10.70.2.70,782.9317743778229,0,92,256,0.1,Adam,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00023_23_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-06_17-25-53"
24,84,0.0841623959230615,0.9960549645390072,0.9998891843971632,4.6611418874957895,0.1230221518987341,0.2780854430379746,9.832978963851929,False,,,84,97b33_00024,93cd986840b045a58333331ab34f9ecc,2022-04-06_18-10-58,1649283058,829.946631193161,155694,guanyush-RTX3060,10.70.2.70,829.946631193161,0,84,64,0.001,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00024_24_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-06_17-42-53"
25,100,1.6958680351575215,0.6053602430555556,0.8022352430555555,4.006210637092591,0.0976447610294117,0.2427159926470588,8.470925092697144,False,,,100,97b33_00025,d3b39ed6fba84ec6bf015c0fc1859d4c,2022-04-06_18-27-43,1649284063,844.7267556190491,172013,guanyush-RTX3060,10.70.2.70,844.7267556190491,0,100,256,0.001,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00025_25_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-06_17-57-07"
26,70,0.0241419406449224,0.9981161347517732,1.0,4.756546283070045,0.1530854430379747,0.3105221518987341,9.859467506408691,False,,,70,97b33_00026,6e92f9fa781944b89da02067ae028ada,2022-04-06_18-39-20,1649284760,693.6006689071655,189913,guanyush-RTX3060,10.70.2.70,693.6006689071655,0,70,64,0.01,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00026_26_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-06_18-13-37"
27,100,0.0129514837301232,0.9992404513888888,1.0,4.926602125167847,0.1245863970588235,0.2714154411764706,8.47482943534851,False,,,100,97b33_00027,5c73ad53b0e24f23b94bd0e07fdc4801,2022-04-06_18-58-23,1649285903,844.2546842098236,206315,guanyush-RTX3060,10.70.2.70,844.2546842098236,0,100,256,0.01,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00027_27_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-06_18-27-46"
28,99,0.3282217750629634,0.9056737588652484,0.9862810283687944,5.388537950153593,0.1309335443037974,0.2887658227848101,9.76426911354065,False,,,99,97b33_00028,bcc8df4176174642907407c60f5a922e,2022-04-06_19-14-37,1649286877,971.7692704200743,224239,guanyush-RTX3060,10.70.2.70,971.7692704200743,0,99,64,0.1,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00028_28_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-06_18-44-18"
29,96,0.0157498774222201,0.9988064236111112,1.0,4.618967080116272,0.1320082720588235,0.2810431985294118,8.315269470214844,False,,,96,97b33_00029,0e559a2602bd419aa2384d1a7fdae913,2022-04-06_19-28-14,1649287694,803.180169582367,240594,guanyush-RTX3060,10.70.2.70,803.180169582367,0,96,256,0.1,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00029_29_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-06_18-58-25"
30,99,1.3722612781727568,0.5908244680851065,0.8342198581560284,4.095944377440441,0.1412183544303797,0.3314873417721519,10.044898748397827,False,,,99,97b33_00030,4a6cc025aac54599b449a9f244f563ba,2022-04-06_19-45-31,1649288731,1000.4938595294952,260837,guanyush-RTX3060,10.70.2.70,1000.4938595294952,0,99,64,0.001,Adam,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00030_30_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-06_19-14-50"
31,93,0.1477704753892289,0.9666449652777778,0.9972873263888888,4.977784276008606,0.1417279411764705,0.3310776654411764,8.425612211227417,False,,,93,97b33_00031,acec8287ca4d45a992add4266006e01f,2022-04-06_19-58-52,1649289532,787.5018880367279,277124,guanyush-RTX3060,10.70.2.70,787.5018880367279,0,93,256,0.001,Adam,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00031_31_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-06_19-28-50"
32,94,3.927045333470013,0.0752437943262411,0.1896498226950354,3.996207831781122,0.066257911392405,0.1722705696202531,10.058132648468018,False,,,94,97b33_00032,7a7fcbea107e4917ba6fdbf286c8dbee,2022-04-06_20-15-45,1649290545,950.1781060695648,294932,guanyush-RTX3060,10.70.2.70,950.1781060695648,0,94,64,0.01,Adam,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00032_32_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-06_19-45-44"
33,97,3.6436596976386175,0.1050130208333333,0.2510199652777778,3.860894513130188,0.0788028492647058,0.1942784926470588,8.390735149383545,False,,,97,97b33_00033,b6d80628da6842ee8d8f144795e61022,2022-04-06_20-30-30,1649291430,819.6138234138489,311238,guanyush-RTX3060,10.70.2.70,819.6138234138489,0,97,256,0.01,Adam,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00033_33_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-06_19-59-54"
34,87,4.489110033562842,0.0232269503546099,0.0673537234042553,172.732023987589,0.0130537974683544,0.0290743670886075,10.099557876586914,False,,,87,97b33_00034,3b62e2187ecd4ff68c1ed62050995b96,2022-04-06_20-45-40,1649292340,881.7028105258942,329360,guanyush-RTX3060,10.70.2.70,881.7028105258942,0,87,64,0.1,Adam,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00034_34_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-06_20-16-49"
35,92,4.29775235388014,0.0402560763888888,0.1071397569444444,4.533185696601867,0.0260799632352941,0.0719784007352941,8.425759553909302,False,,,92,97b33_00035,693f435ceda74d619538a80aaa29deab,2022-04-06_21-00-53,1649293253,779.2603306770325,345605,guanyush-RTX3060,10.70.2.70,779.2603306770325,0,92,256,0.1,Adam,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00035_35_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-06_20-30-58"
36,84,0.0841623959230615,0.9960549645390072,0.9998891843971632,4.6611418874957895,0.1230221518987341,0.2780854430379746,9.851016998291016,False,,,84,97b33_00036,7c6707d954674156bceaa1a094d000dc,2022-04-06_21-15-55,1649294155,830.4317350387573,363405,guanyush-RTX3060,10.70.2.70,830.4317350387573,0,84,64,0.001,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00036_36_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-06_20-47-54"
37,100,1.6958680351575215,0.6053602430555556,0.8022352430555555,4.006210637092591,0.0976447610294117,0.2427159926470588,8.442723035812378,False,,,100,97b33_00037,81989f0eb72a4d97b5d5ca8bff7c9147,2022-04-06_21-32-37,1649295157,841.4518082141876,379717,guanyush-RTX3060,10.70.2.70,841.4518082141876,0,100,256,0.001,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00037_37_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-06_21-02-04"
