,epoch,loss,accuracy,top_k_acc,val_loss,val_accuracy,val_top_k_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,config/data_loader;args;batch_size,config/optimizer;args;lr,config/optimizer;type,logdir
0,10,2.911562101215336,0.2685062056737589,0.4742464539007092,3.1309618980069702,0.2165743670886075,0.4141613924050633,12.77738332748413,False,,,10,d772f_00000,d074b943cbba4882967a1127cd8bc46f,2022-04-12_16-57-29,1649797049,138.04068207740784,25350,Cdots-Grand-Mesa,172.28.171.47,138.04068207740784,0,10,64,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649796910/DEFAULT_2022-04-12_16-55-10/DEFAULT_d772f_00000_0_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-12_16-55-10"
1,10,3.6087898214658094,0.1584635416666666,0.3067925347222222,3.6878697872161865,0.1350413602941176,0.2782284007352941,5.136355400085449,False,,,10,d772f_00001,4612a316ee1349aa94a9e9edc5075644,2022-04-12_16-58-31,1649797111,58.67731332778931,25353,Cdots-Grand-Mesa,172.28.171.47,58.67731332778931,0,10,256,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649796910/DEFAULT_2022-04-12_16-55-10/DEFAULT_d772f_00001_1_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-12_16-55-11"
2,10,2.504999003511794,0.3403147163120567,0.5613918439716312,2.8547546501401104,0.2810522151898734,0.4899129746835443,12.858608484268188,False,,,10,d772f_00002,5580ae8ada4c4f5c8a54a8e13d080717,2022-04-12_17-00-49,1649797249,134.83665561676025,25346,Cdots-Grand-Mesa,172.28.171.47,134.83665561676025,0,10,64,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649796910/DEFAULT_2022-04-12_16-55-10/DEFAULT_d772f_00002_2_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-12_16-57-31"
3,9,2.7781130539046397,0.2881293402777778,0.5016059027777778,3.112593638896942,0.2346047794117647,0.4258501838235294,5.167858600616455,False,,,9,d772f_00003,5320ad1b97da4edab76aa80b45440fc5,2022-04-12_17-01-46,1649797306,53.77539396286011,25343,Cdots-Grand-Mesa,172.28.171.47,53.77539396286011,0,9,256,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649796910/DEFAULT_2022-04-12_16-55-10/DEFAULT_d772f_00003_3_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-12_16-58-34"
4,10,3.13539172909784,0.2197473404255319,0.4086436170212766,3.3997443748425837,0.1839398734177215,0.3524525316455696,13.305177927017212,False,,,10,d772f_00004,5eb5049df14a45c0833a89e181c20b8d,2022-04-12_17-04-10,1649797450,135.56452083587646,25345,Cdots-Grand-Mesa,172.28.171.47,135.56452083587646,0,10,64,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649796910/DEFAULT_2022-04-12_16-55-10/DEFAULT_d772f_00004_4_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-12_17-00-52"
5,10,3.163507646984524,0.2103949652777778,0.399609375,3.3795061469078065,0.1807789522058823,0.361282169117647,5.297244548797607,False,,,10,d772f_00005,ff06ad522b4541a58799674f229adc28,2022-04-12_17-05-12,1649797512,58.86002850532532,25348,Cdots-Grand-Mesa,172.28.171.47,58.86002850532532,0,10,256,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649796910/DEFAULT_2022-04-12_16-55-10/DEFAULT_d772f_00005_5_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-12_17-01-54"
6,10,2.9415119708852564,0.2540558510638298,0.458554964539007,3.1399773344208923,0.216376582278481,0.4187104430379746,16.4771831035614,False,,,10,d772f_00006,6e6ed23ca5be43d39dbaa19b0c291578,2022-04-12_17-08-10,1649797690,174.3170919418335,25338,Cdots-Grand-Mesa,172.28.171.47,174.3170919418335,0,10,64,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649796910/DEFAULT_2022-04-12_16-55-10/DEFAULT_d772f_00006_6_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-12_17-04-13"
7,10,2.8396991756227283,0.2716796875,0.4850694444444444,3.3024869561195374,0.2036534926470588,0.3888097426470588,5.2805609703063965,False,,,10,d772f_00007,0bca9df6919c49be94885f483d7746c1,2022-04-12_17-09-13,1649797753,59.56051850318909,25349,Cdots-Grand-Mesa,172.28.171.47,59.56051850318909,0,10,256,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649796910/DEFAULT_2022-04-12_16-55-10/DEFAULT_d772f_00007_7_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-12_17-05-15"
8,10,3.722312977973451,0.1212322695035461,0.2588209219858156,3.831482072419758,0.1095727848101265,0.2266613924050632,16.0588219165802,False,,,10,d772f_00008,c5ad0d0b56fe487cb3ce1222c2bf7b53,2022-04-12_17-12-10,1649797930,173.93032455444336,25352,Cdots-Grand-Mesa,172.28.171.47,173.93032455444336,0,10,64,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649796910/DEFAULT_2022-04-12_16-55-10/DEFAULT_d772f_00008_8_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-12_17-08-13"
9,9,3.7395859758059182,0.1170572916666666,0.2478949652777777,3.903309690952301,0.0847081801470588,0.1999770220588235,5.288284063339233,False,,,9,d772f_00009,ae41b04cec5a4ff59e75dbead2dc2c8d,2022-04-12_17-13-07,1649797987,54.0651261806488,25339,Cdots-Grand-Mesa,172.28.171.47,54.0651261806488,0,9,256,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649796910/DEFAULT_2022-04-12_16-55-10/DEFAULT_d772f_00009_9_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-12_17-09-16"
10,10,4.339519094913564,0.0275044326241134,0.0912234042553191,5.320644529559944,0.0280854430379746,0.0787183544303797,16.255505323410034,False,,,10,d772f_00010,e11b0bfcfb3140c4826ba9391f1c3399,2022-04-12_17-16-07,1649798167,170.81095337867737,25344,Cdots-Grand-Mesa,172.28.171.47,170.81095337867737,0,10,64,0.1,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649796910/DEFAULT_2022-04-12_16-55-10/DEFAULT_d772f_00010_10_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-12_17-12-13"
11,7,4.329894423484802,0.0295572916666666,0.0892578125,4.424213910102845,0.0265395220588235,0.0783777573529411,5.2560508251190186,False,,,7,d772f_00011,8511691025a04867b0d9b9c3ac4f813b,2022-04-12_17-16-54,1649798214,43.89570641517639,25351,Cdots-Grand-Mesa,172.28.171.47,43.89570641517639,0,7,256,0.1,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649796910/DEFAULT_2022-04-12_16-55-10/DEFAULT_d772f_00011_11_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-12_17-13-16"
