,epoch,loss,accuracy,top_k_acc,val_loss,val_accuracy,val_top_k_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,config/data_loader;args;batch_size,config/optimizer;args;lr,config/optimizer;type,logdir
10,7,4.37542461503482,0.032136524822695,0.0814494680851063,4.386922335322899,0.0322389240506329,0.0858386075949367,16.896846294403076,False,,,7,4ede7_00010,f7b6947d2413421a8982ca07f7ed7a77,2022-04-08_01-28-09,1649395689,125.4231414794922,3081,Cdots-Grand-Mesa,172.28.171.47,125.4231414794922,0,7,64,0.1,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00010_10_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-08_01-16-59"
11,97,3.9029696385065713,0.0856987847222222,0.2000868055555555,4.00236291885376,0.0757697610294117,0.1834788602941176,5.306482315063477,False,,,97,4ede7_00011,2b74225b13b64e92ba04ec3273e3d2f8,2022-04-08_02-02-35,1649397755,525.8026118278503,3082,Cdots-Grand-Mesa,172.28.171.47,525.8026118278503,0,97,256,0.1,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00011_11_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-08_01-26-02"
12,100,0.0181992224926221,0.999224290780142,1.0,2.929557966280587,0.4048655063291139,0.6044303797468354,13.102256298065186,False,,,100,4ede7_00012,3fef528f742b49d3be6806c2d1761d14,2022-04-08_02-24-28,1649399068,1293.1660640239716,3079,Cdots-Grand-Mesa,172.28.171.47,1293.1660640239716,0,100,64,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00012_12_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-08_01-53-49"
13,95,0.6733010179466672,0.8562065972222223,0.9594835069444444,2.9631233692169188,0.3208409926470588,0.5162454044117647,5.324652910232544,False,,,95,4ede7_00013,660355aae1e6420da20e67ecd0584550,2022-04-08_02-33-02,1649399582,511.85349678993225,3075,Cdots-Grand-Mesa,172.28.171.47,511.85349678993225,0,95,256,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00013_13_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-08_02-02-54"
14,100,0.0086768107746351,0.9997783687943262,1.0,2.2695188809044757,0.4883306962025316,0.6811708860759493,12.93727970123291,False,,,100,4ede7_00014,0aa86f19d29e484ba369d42a980e0bdb,2022-04-08_02-54-55,1649400895,1282.3913893699646,3083,Cdots-Grand-Mesa,172.28.171.47,1282.3913893699646,0,100,64,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00014_14_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-08_02-24-30"
15,87,0.0102836230071261,0.9997829861111112,1.0,2.8502774238586426,0.4227711397058823,0.6166704963235294,5.2661871910095215,False,,,87,4ede7_00015,894d24872ce940489c67690e43d50b21,2022-04-08_03-02-48,1649401368,470.6133704185486,3074,Cdots-Grand-Mesa,172.28.171.47,470.6133704185486,0,87,256,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00015_15_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-08_02-33-32"
16,99,0.1786579650872988,0.9539450354609929,0.9955673758865248,3.043704711938206,0.4032832278481013,0.5994857594936709,12.642431020736694,False,,,99,4ede7_00016,714e7978740c4e409241aea6379d6fea,2022-04-08_03-25-24,1649402724,1282.1966211795807,17112,Cdots-Grand-Mesa,172.28.171.47,1282.1966211795807,0,99,64,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00016_16_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-08_02-54-57"
17,96,0.0096078563300478,0.9997829861111112,1.0,2.4224366545677185,0.4470818014705882,0.6455078125,5.313959121704102,False,,,96,4ede7_00017,a8da23ff9050428299e32cabccd722f6,2022-04-08_03-34-19,1649403259,518.794671535492,2383,Cdots-Grand-Mesa,172.28.171.47,518.794671535492,0,96,256,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00017_17_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-08_03-04-01"
18,100,0.1423790264108502,0.967043439716312,0.9973404255319148,2.7892189403123493,0.4414556962025316,0.646756329113924,16.24851083755493,False,,,100,4ede7_00018,e7242b55427446ff948f7c2778b32a9f,2022-04-08_04-02-30,1649404950,1665.5308849811554,18570,Cdots-Grand-Mesa,172.28.171.47,1665.5308849811554,0,100,64,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00018_18_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-08_03-25-40"
19,88,0.0547031059654222,0.9916015625,0.9990885416666668,2.699679708480835,0.4526309742647059,0.6504710477941177,5.422718524932861,False,,,88,4ede7_00019,49dd05fb0a17444ba73875717f845d8c,2022-04-08_04-10-42,1649405442,487.806791305542,4020,Cdots-Grand-Mesa,172.28.171.47,487.806791305542,0,88,256,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00019_19_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-08_03-34-44"
20,99,2.914965725959616,0.268218085106383,0.4673758865248227,3.1887047743495507,0.2191455696202531,0.4032832278481013,17.377137422561646,False,,,99,4ede7_00020,808ed0c7db744a3d94914d626609047e,2022-04-08_04-39-32,1649407172,1660.8826253414154,19894,Cdots-Grand-Mesa,172.28.171.47,1660.8826253414154,0,99,64,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00020_20_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-08_04-02-33"
21,98,1.799400485224194,0.4997829861111111,0.7320312499999999,2.815481758117676,0.3108685661764706,0.5243910845588236,5.30173134803772,False,,,98,4ede7_00021,fff11192221d45dcb89ae8141cd603ba,2022-04-08_04-49-04,1649407744,548.1201810836792,5435,Cdots-Grand-Mesa,172.28.171.47,548.1201810836792,0,98,256,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00021_21_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-08_04-11-50"
22,7,4.37542461503482,0.032136524822695,0.0814494680851063,4.386922335322899,0.0322389240506329,0.0858386075949367,16.92309331893921,False,,,7,4ede7_00022,78ad290cbf6246df946260e99231fbc6,2022-04-08_04-51-25,1649407885,125.542142868042,21355,Cdots-Grand-Mesa,172.28.171.47,125.542142868042,0,7,64,0.1,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00022_22_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-08_04-39-52"
23,97,3.9029696385065713,0.0856987847222222,0.2000868055555555,4.00236291885376,0.0757697610294117,0.1834788602941176,5.289931774139404,False,,,97,4ede7_00023,88e03cf1214d400596c87d37ec0b61d7,2022-04-08_05-26-06,1649409966,527.3137292861938,6804,Cdots-Grand-Mesa,172.28.171.47,527.3137292861938,0,97,256,0.1,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649385652/DEFAULT_2022-04-07_22-40-52/DEFAULT_4ede7_00023_23_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-08_04-49-19"
