,epoch,loss,accuracy,top_k_acc,val_loss,val_accuracy,val_top_k_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,config/data_loader;args;batch_size,config/optimizer;args;lr,config/optimizer;type,logdir
0,10,1.5798038318753242,0.5583274147727273,0.7752352627840909,1.7401190452937838,0.5158227848101266,0.741495253164557,56.64003133773804,False,,,10,32a84_00000,5ba0ee8814ee49e19947c19fcfd529d5,2022-04-12_20-56-18,1649811378,570.7288334369659,25810,Cdots-Grand-Mesa,172.28.171.47,570.7288334369659,0,10,64,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649810807/DEFAULT_2022-04-12_20-46-47/DEFAULT_32a84_00000_0_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-12_20-46-47"
1,10,2.533837845379656,0.3484153053977273,0.5663094815340909,2.5664194941520693,0.3247012867647059,0.5477941176470588,21.42245364189148,False,,,10,32a84_00001,31e5cc04f73d4e30a2005e4f41beddcc,2022-04-12_21-00-05,1649811605,222.608948469162,25808,Cdots-Grand-Mesa,172.28.171.47,222.608948469162,0,10,256,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649810807/DEFAULT_2022-04-12_20-46-47/DEFAULT_32a84_00001_1_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-12_20-46-48"
2,10,1.2466308071532033,0.6358087713068182,0.8411532315340909,1.5204143961773644,0.5779272151898734,0.7887658227848101,57.032254219055176,False,,,10,32a84_00002,8097798d20734c969fb1711b07945fc8,2022-04-12_21-09-46,1649812186,577.535285949707,25809,Cdots-Grand-Mesa,172.28.171.47,577.535285949707,0,10,64,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649810807/DEFAULT_2022-04-12_20-46-47/DEFAULT_32a84_00002_2_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-12_20-56-21"
3,10,1.2918194092132829,0.6262650923295454,0.8325142045454546,1.692967939376831,0.5275505514705883,0.7670726102941177,21.372806549072266,False,,,10,32a84_00003,a0cebe15c99a4fa1bb4dd840bc36bb5f,2022-04-12_21-13-32,1649812412,222.69001722335813,25807,Cdots-Grand-Mesa,172.28.171.47,222.69001722335813,0,10,256,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649810807/DEFAULT_2022-04-12_20-46-47/DEFAULT_32a84_00003_3_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-12_21-00-07"
4,10,1.7767472575333985,0.5091219815340909,0.7341086647727273,1.9592996941337104,0.4622231012658228,0.6991693037974683,55.62201285362244,False,,,10,32a84_00004,bdc393bb43f647b6a530c00fd3af1623,2022-04-12_21-23-08,1649812988,573.010317325592,25803,Cdots-Grand-Mesa,172.28.171.47,573.010317325592,0,10,64,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649810807/DEFAULT_2022-04-12_20-46-47/DEFAULT_32a84_00004_4_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-12_21-09-48"
5,10,1.3888322487473488,0.6005300071022727,0.8126979758522727,1.8236108660697936,0.5025965073529413,0.7330537683823529,21.424936056137085,False,,,10,32a84_00005,14b95fc05cb24a848bb62abd058acea6,2022-04-12_21-26-53,1649813213,221.57070875167847,25811,Cdots-Grand-Mesa,172.28.171.47,221.57070875167847,0,10,256,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649810807/DEFAULT_2022-04-12_20-46-47/DEFAULT_32a84_00005_5_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-12_21-13-35"
6,10,1.6642658663066952,0.5303178267045454,0.7591885653409091,1.7584177964850316,0.5081091772151899,0.7377373417721519,75.40035557746887,False,,,10,32a84_00006,81e824adbcb7401c84132e0046ab737d,2022-04-12_21-39-46,1649813986,769.8245990276337,25802,Cdots-Grand-Mesa,172.28.171.47,769.8245990276337,0,10,64,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649810807/DEFAULT_2022-04-12_20-46-47/DEFAULT_32a84_00006_6_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-12_21-23-11"
7,10,1.4982248639518565,0.573155184659091,0.7929518821022726,1.8022939801216125,0.4903492647058823,0.7401654411764705,21.868086099624637,False,,,10,32a84_00007,105164b0d11a4d9aa5a23bc0ae4fe4bf,2022-04-12_21-43-36,1649814216,226.5399990081787,25799,Cdots-Grand-Mesa,172.28.171.47,226.5399990081787,0,10,256,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649810807/DEFAULT_2022-04-12_20-46-47/DEFAULT_32a84_00007_7_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-12_21-26-56"
8,9,3.294538589025086,0.1966885653409091,0.3723810369318182,3.2897165545934364,0.1902689873417721,0.3724287974683544,74.99568891525269,False,,,9,32a84_00008,3d3d07d5ff9d45dda2daaa335c629983,2022-04-12_21-55-10,1649814910,691.0359208583832,25797,Cdots-Grand-Mesa,172.28.171.47,691.0359208583832,0,9,64,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649810807/DEFAULT_2022-04-12_20-46-47/DEFAULT_32a84_00008_8_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-12_21-39-49"
9,9,2.8492773066867483,0.274853515625,0.4844229403409091,3.029545319080353,0.2388442095588235,0.4519875919117647,21.69777107238769,False,,,9,32a84_00009,1ca6cee6ad974ada9c2db392819bbce6,2022-04-12_21-59-53,1649815193,202.44974064826965,25804,Cdots-Grand-Mesa,172.28.171.47,202.44974064826965,0,9,256,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649810807/DEFAULT_2022-04-12_20-46-47/DEFAULT_32a84_00009_9_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-12_21-43-39"
10,1,4.642384500666098,0.0220614346590909,0.0624334161931818,4.459412779989122,0.0268987341772151,0.0706091772151898,81.72208023071289,False,,,1,32a84_00010,2f117c05e39d434f9da2722791970cd9,2022-04-12_22-01-39,1649815299,81.72208023071289,25801,Cdots-Grand-Mesa,172.28.171.47,81.72208023071289,0,1,64,0.1,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649810807/DEFAULT_2022-04-12_20-46-47/DEFAULT_32a84_00010_10_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-12_21-56-30"
11,4,4.078646432269704,0.0617977627840909,0.1569815340909091,4.355658507347107,0.0461971507352941,0.1243566176470588,21.644705533981323,False,,,4,32a84_00011,ebf564e58ac043148dd022a6c5e38bf0,2022-04-12_22-14-43,1649816083,93.4810914993286,25806,Cdots-Grand-Mesa,172.28.171.47,93.4810914993286,0,4,256,0.1,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649810807/DEFAULT_2022-04-12_20-46-47/DEFAULT_32a84_00011_11_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-12_22-00-17"
