,epoch,loss,accuracy,top_k_acc,val_loss,val_accuracy,val_top_k_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,config/data_loader;args;batch_size,config/optimizer;args;lr,config/optimizer;type,logdir
10,83,4.2468630840832535,0.0394841974431818,0.108065518465909,4.472156289257581,0.039754746835443,0.1068037974683544,74.73533606529236,False,,,83,f25e5_00010,04971fa7e1804b6f823c587fb34997f1,2022-04-09_08-28-16,1649507296,6281.8109810352325,24945,Cdots-Grand-Mesa,172.28.171.47,6281.8109810352325,0,83,64,0.1,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00010_10_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-09_06-07-01"
11,86,3.879292156208645,0.0936008522727272,0.2131099076704545,4.153401303291321,0.0818359375,0.1825137867647059,22.00104165077209,False,,,86,f25e5_00011,ad4d1247bac4436d86df82b24531cb50,2022-04-09_09-21-16,1649510476,1900.4448657035828,24949,Cdots-Grand-Mesa,172.28.171.47,1900.4448657035828,0,86,256,0.1,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00011_11_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-09_06-43-31"
12,96,0.0175098697588757,0.9989346590909092,1.0,1.283416594508328,0.7041139240506329,0.8714398734177216,55.24722909927368,False,,,96,f25e5_00012,96930f51fc324e848976c6a1c940f0b9,2022-04-09_10-57-07,1649516227,5438.404260158539,24941,Cdots-Grand-Mesa,172.28.171.47,5438.404260158539,0,96,64,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00012_12_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-09_08-49-31"
13,83,0.1889102662998167,0.9576793323863636,0.9964870383522728,1.4808610260486603,0.6390050551470587,0.8188419117647058,21.699606895446777,False,,,83,f25e5_00013,255d06fc02754d69a52ffc3412177206,2022-04-09_11-31-02,1649518262,1803.8638422489169,24944,Cdots-Grand-Mesa,172.28.171.47,1803.8638422489169,0,83,256,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00013_13_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-09_09-26-25"
14,92,0.0744745462169786,0.9827769886363636,0.9990012428977272,1.3166527861281283,0.7037183544303798,0.8623417721518988,56.067551136016846,False,,,92,f25e5_00014,017cd94b457f4067a6fcc60988cb1b83,2022-04-09_13-03-54,1649523834,5199.438503980637,24947,Cdots-Grand-Mesa,172.28.171.47,5199.438503980637,0,92,64,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00014_14_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-09_11-00-54"
15,93,0.0099151580758519,0.9995880681818182,1.0,1.1698549062013626,0.72265625,0.8757582720588235,21.46925187110901,False,,,93,f25e5_00015,d22df970c01241acb41d4bddff8f77fd,2022-04-09_13-45-15,1649526315,2019.4330341815948,24942,Cdots-Grand-Mesa,172.28.171.47,2019.4330341815948,0,93,256,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00015_15_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-09_11-37-10"
16,94,1.0376222120089964,0.697998046875,0.8797940340909091,1.4530221631255331,0.6028481012658228,0.8097310126582279,59.75915837287903,False,,,94,f25e5_00016,5f18bce044704827aa012aa1f5ef3333,2022-04-09_15-17-01,1649531821,5347.941126823425,28853,Cdots-Grand-Mesa,172.28.171.47,5347.941126823425,0,94,64,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00016_16_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-09_13-11-32"
17,99,0.1677835739048367,0.9512464488636364,0.9960715553977272,1.5087957739830018,0.6529067095588236,0.8241153492647058,21.39784598350525,False,,,99,f25e5_00017,ba706fc6b04042918830c561f864daae,2022-04-09_15-58-29,1649534309,2141.345363855362,22129,Cdots-Grand-Mesa,172.28.171.47,2141.345363855362,0,99,256,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00017_17_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-09_13-47-49"
18,89,0.685844175517559,0.7888849431818182,0.9377219460227272,1.197572238083127,0.6693037974683544,0.8540348101265823,73.35026025772095,False,,,89,f25e5_00018,04d87bf5c8184a1884e548ad077a27c4,2022-04-09_17-49-49,1649540989,6651.9185383319855,6916,Cdots-Grand-Mesa,172.28.171.47,6651.9185383319855,0,89,64,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00018_18_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-09_15-22-43"
19,98,0.2091059154322878,0.9366876775568184,0.9929616477272728,1.3533658504486084,0.6784466911764706,0.8506089154411764,21.90939211845398,False,,,98,f25e5_00019,58aa712b1515474599c27eba0ffba28b,2022-04-09_18-39-37,1649543977,2163.118250846863,722,Cdots-Grand-Mesa,172.28.171.47,2163.118250846863,0,98,256,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00019_19_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-09_15-58-54"
20,82,2.8605854772031307,0.2774769176136363,0.4828435724431818,2.913611944717697,0.2666139240506329,0.4604430379746835,74.73385214805603,False,,,82,f25e5_00020,2ef8b7aabef840faa3d5072cc6863fbe,2022-04-09_20-23-08,1649550188,6160.8213675022125,17974,Cdots-Grand-Mesa,172.28.171.47,6160.8213675022125,0,82,64,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00020_20_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-09_18-03-30"
21,99,2.045659287409349,0.4477521306818181,0.6727769886363636,2.20346884727478,0.4016429227941177,0.6398322610294118,21.81563401222229,False,,,99,f25e5_00021,b833d634e6ef47ff9fa52bb4dee03f76,2022-04-09_21-22-00,1649553720,2167.040479183197,11881,Cdots-Grand-Mesa,172.28.171.47,2167.040479183197,0,99,256,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00021_21_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-09_18-40-24"
22,83,4.2468630840832535,0.0394841974431818,0.108065518465909,4.472156289257581,0.039754746835443,0.1068037974683544,74.70344972610474,False,,,83,f25e5_00022,7bdd2b3154674efa8368c82bb6f624e2,2022-04-09_23-06-07,1649559967,6217.380500078201,29149,Cdots-Grand-Mesa,172.28.171.47,6217.380500078201,0,83,64,0.1,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00022_22_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-09_20-45-49"
23,86,3.879292156208645,0.0936008522727272,0.2131099076704545,4.153401303291321,0.0818359375,0.1825137867647059,22.075654983520508,False,,,86,f25e5_00023,3753612d1c68405c9de0db32b0678289,2022-04-09_23-58-53,1649563133,1899.325412750244,23017,Cdots-Grand-Mesa,172.28.171.47,1899.325412750244,0,86,256,0.1,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649458082/DEFAULT_2022-04-08_18-48-02/DEFAULT_f25e5_00023_23_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-09_21-22-26"
