,epoch,loss,accuracy,top_k_acc,val_loss,val_accuracy,val_top_k_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,config/data_loader;args;batch_size,config/optimizer;args;lr,config/optimizer;type,logdir
0,100,0.0239257206876121,0.999113475177305,1.0,2.7281413938425763,0.4305775316455696,0.638251582278481,13.390892267227173,False,,,100,4c78a_00000,750a4f26533b4e69951e6030837828d4,2022-04-13_00-22-13,1649823733,1285.961760044098,21202,Cdots-Grand-Mesa,172.28.171.47,1285.961760044098,0,100,64,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649822447/DEFAULT_2022-04-13_00-00-47/DEFAULT_4c78a_00000_0_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-13_00-00-47"
1,88,1.0270277344518235,0.7430121527777778,0.9063802083333334,2.823927426338196,0.3311695772058823,0.5366727941176471,5.206109046936035,False,,,88,4c78a_00001,d4135754bbed4c8eaef10a0cd99addf4,2022-04-13_00-30-04,1649824204,466.6562931537628,21216,Cdots-Grand-Mesa,172.28.171.47,466.6562931537628,0,88,256,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649822447/DEFAULT_2022-04-13_00-00-47/DEFAULT_4c78a_00001_1_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-13_00-00-47"
2,95,0.0085682551779434,1.0,1.0,2.162696326835246,0.5160205696202531,0.7090585443037974,12.677768230438232,False,,,95,4c78a_00002,5973d2af30144bd289f98be9c6baea36,2022-04-13_00-51-48,1649825508,1237.691790819168,21214,Cdots-Grand-Mesa,172.28.171.47,1237.691790819168,0,95,64,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649822447/DEFAULT_2022-04-13_00-00-47/DEFAULT_4c78a_00002_2_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-13_00-22-16"
3,87,0.0092618868479298,0.9998914930555556,1.0,2.655355429649353,0.4553653492647059,0.6570886948529412,5.226506471633911,False,,,87,4c78a_00003,80e99d9eb5f949958aa4c8a24549d1a7,2022-04-13_01-00-40,1649826040,464.30131554603577,21213,Cdots-Grand-Mesa,172.28.171.47,464.30131554603577,0,87,256,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649822447/DEFAULT_2022-04-13_00-00-47/DEFAULT_4c78a_00003_3_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-13_00-31-09"
4,96,0.2205810683733182,0.9402039007092198,0.9937943262411348,2.721938745884956,0.4438291139240506,0.6558544303797469,12.653851985931396,False,,,96,4c78a_00004,9a01350d1b17472aac87e24b9f93baaf,2022-04-13_01-22-51,1649827371,1259.3256771564484,21204,Cdots-Grand-Mesa,172.28.171.47,1259.3256771564484,0,96,64,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649822447/DEFAULT_2022-04-13_00-00-47/DEFAULT_4c78a_00004_4_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-13_00-52-54"
5,98,0.0092947786389332,1.0,1.0,2.3403475880622864,0.4684053308823529,0.6595013786764705,5.351023674011231,False,,,98,4c78a_00005,091e5f2cf69948f2a79e7787b711d5b5,2022-04-13_01-32-30,1649827950,523.8243017196655,21215,Cdots-Grand-Mesa,172.28.171.47,523.8243017196655,0,98,256,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649822447/DEFAULT_2022-04-13_00-00-47/DEFAULT_4c78a_00005_5_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-13_01-01-51"
6,78,0.2796370734771092,0.9173758865248226,0.9904698581560284,2.6297847221169293,0.4723101265822785,0.6793908227848101,16.935813188552856,False,,,78,4c78a_00006,df9730940f1f45f09d5fc26ea4488899,2022-04-13_01-54-48,1649829288,1323.2745430469513,21212,Cdots-Grand-Mesa,172.28.171.47,1323.2745430469513,0,78,64,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649822447/DEFAULT_2022-04-13_00-00-47/DEFAULT_4c78a_00006_6_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-13_01-23-46"
7,100,0.0607116105448868,0.9900173611111112,0.9995659722222222,2.596044182777405,0.4743106617647059,0.6740349264705883,5.678168296813965,False,,,100,4c78a_00007,c15a3da3222d49cd82fe214ca6001c0b,2022-04-13_02-10-11,1649830211,547.1926860809326,21207,Cdots-Grand-Mesa,172.28.171.47,547.1926860809326,0,100,256,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649822447/DEFAULT_2022-04-13_00-00-47/DEFAULT_4c78a_00007_7_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-13_01-32-44"
8,87,3.0371935316856877,0.2436613475177305,0.4365691489361702,3.22668133506292,0.217761075949367,0.3910205696202531,17.069045782089233,False,,,87,4c78a_00008,041b5ff30bc54e96b72e0f898a57c82c,2022-04-13_02-34-51,1649831691,1476.1216218471527,21205,Cdots-Grand-Mesa,172.28.171.47,1476.1216218471527,0,87,64,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649822447/DEFAULT_2022-04-13_00-00-47/DEFAULT_4c78a_00008_8_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-13_02-01-03"
9,100,1.6623924606376224,0.5281032986111112,0.7602647569444445,2.5269426584243773,0.3551011029411764,0.5830997242647059,5.59957766532898,False,,,100,4c78a_00009,7f035fa1652441a0bb46baa22f188181,2022-04-13_02-47-43,1649832463,548.1536519527435,21217,Cdots-Grand-Mesa,172.28.171.47,548.1536519527435,0,100,256,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649822447/DEFAULT_2022-04-13_00-00-47/DEFAULT_4c78a_00009_9_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-13_02-10-14"
