,epoch,loss,accuracy,top_k_acc,val_loss,val_accuracy,val_top_k_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,config/data_loader;args;batch_size,config/optimizer;args;lr,config/optimizer;type,logdir
0,94,0.026734446948196,0.9993351063829788,1.0,2.7289462044269226,0.4307753164556962,0.6360759493670886,12.939419269561768,False,,,94,14ecc_00000,0aae0b40b1ab442d9d291586c62902a5,2022-04-13_16-54-34,1649883274,1219.283546447754,32652,Cdots-Grand-Mesa,172.28.171.47,1219.283546447754,0,94,64,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649882053/DEFAULT_2022-04-13_16-34-13/DEFAULT_14ecc_00000_0_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-13_16-34-14"
1,97,0.772157351175944,0.8244574652777777,0.9527126736111112,2.849042510986328,0.3321231617647059,0.5336971507352941,5.205322742462158,False,,,97,14ecc_00001,1088b9c813074ca8aceeefeafcba7876,2022-04-13_17-04-28,1649883868,513.9613556861877,32654,Cdots-Grand-Mesa,172.28.171.47,513.9613556861877,0,97,256,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649882053/DEFAULT_2022-04-13_16-34-13/DEFAULT_14ecc_00001_1_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-13_16-34-14"
2,97,0.0087134918587691,1.0,1.0,2.1200383184831355,0.5201740506329114,0.7191455696202531,12.76467227935791,False,,,97,14ecc_00002,fe33f7c72577445788a94f7ef6da4076,2022-04-13_17-25-52,1649885152,1265.2649710178375,32653,Cdots-Grand-Mesa,172.28.171.47,1265.2649710178375,0,97,64,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649882053/DEFAULT_2022-04-13_16-34-13/DEFAULT_14ecc_00002_2_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-13_16-55-53"
3,75,0.0144554504659026,0.9997829861111112,1.0,2.7087257862091065,0.4485523897058823,0.6536764705882353,5.270850419998169,False,,,75,14ecc_00003,f8ac538b43064932a7d6927a609cba3e,2022-04-13_17-33-17,1649885597,402.5437891483307,32649,Cdots-Grand-Mesa,172.28.171.47,402.5437891483307,0,75,256,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649882053/DEFAULT_2022-04-13_16-34-13/DEFAULT_14ecc_00003_3_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-13_17-04-46"
4,95,0.2320204256168494,0.936790780141844,0.9932402482269505,2.6794621416285067,0.4519382911392405,0.6702927215189873,13.541016340255736,False,,,95,14ecc_00004,ee394c8812e648518ba11680a238e34c,2022-04-13_17-56-22,1649886982,1249.390489578247,32650,Cdots-Grand-Mesa,172.28.171.47,1249.390489578247,0,95,64,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649882053/DEFAULT_2022-04-13_16-34-13/DEFAULT_14ecc_00004_4_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-13_17-26-33"
5,100,0.0111686155562185,0.9998914930555556,1.0,2.328714883327484,0.4752412683823529,0.6740808823529412,5.48650860786438,False,,,100,14ecc_00005,eae35fcfa09e49bf8192f13f1e2dd2ca,2022-04-13_18-06-23,1649887583,534.1128945350647,32651,Cdots-Grand-Mesa,172.28.171.47,534.1128945350647,0,100,256,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649882053/DEFAULT_2022-04-13_16-34-13/DEFAULT_14ecc_00005_5_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-13_17-35-31"
6,89,0.1985462198020718,0.947584219858156,0.995234929078014,2.6208770410924016,0.4727056962025316,0.6736550632911392,16.25545358657837,False,,,89,14ecc_00006,d9ba1c3902e6435fa436eee5f4262ee9,2022-04-13_18-45-50,1649889950,2363.8775866031647,32639,Cdots-Grand-Mesa,172.28.171.47,2363.8775866031647,0,89,64,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649882053/DEFAULT_2022-04-13_16-34-13/DEFAULT_14ecc_00006_6_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-13_17-57-29"
7,98,0.0697793894343906,0.984765625,0.9997829861111112,2.6056939005851745,0.4757352941176471,0.6767807904411764,5.395036697387695,False,,,98,14ecc_00007,4a8e89594e8141848836188ce4d5d4e4,2022-04-13_18-58-16,1649890696,552.3913681507111,32640,Cdots-Grand-Mesa,172.28.171.47,552.3913681507111,0,98,256,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649882053/DEFAULT_2022-04-13_16-34-13/DEFAULT_14ecc_00007_7_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-13_18-06-26"
8,99,2.694304863611857,0.3086879432624113,0.5225842198581561,3.0007755001889,0.2583069620253164,0.4537183544303797,16.693845987319946,False,,,99,14ecc_00008,5b178dc4fc0f48dc966ceb0e449d821d,2022-04-13_19-26-49,1649892409,1697.6972608566284,32648,Cdots-Grand-Mesa,172.28.171.47,1697.6972608566284,0,99,64,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649882053/DEFAULT_2022-04-13_16-34-13/DEFAULT_14ecc_00008_8_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-13_18-48-58"
9,96,2.0183635817633734,0.4414279513888888,0.6827256944444444,2.661638116836548,0.3255974264705882,0.5492991727941177,5.423860549926758,False,,,96,14ecc_00009,c25052209cd24dbb9734cf6e916fa448,2022-04-13_19-35-53,1649892953,523.837295293808,32641,Cdots-Grand-Mesa,172.28.171.47,523.837295293808,0,96,256,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649882053/DEFAULT_2022-04-13_16-34-13/DEFAULT_14ecc_00009_9_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-13_18-58-30"
