,epoch,loss,accuracy,top_k_acc,val_loss,val_accuracy,val_top_k_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,config/data_loader;args;batch_size,config/optimizer;args;lr,config/optimizer;type,logdir
0,10,2.834350626519386,0.2852393617021276,0.4968306737588652,3.189155509200277,0.2217167721518987,0.4137658227848101,12.562111377716064,False,,,10,344d9_00000,09f371bc9af54ba7a83187242481b4ed,2022-04-10_12-23-12,1649607792,133.959153175354,2320,Cdots-Grand-Mesa,172.28.171.47,133.959153175354,0,10,64,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649607658/DEFAULT_2022-04-10_12-20-58/DEFAULT_344d9_00000_0_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-10_12-20-58"
1,10,3.5635854535632663,0.1593967013888889,0.3106987847222222,3.679164099693298,0.1408547794117647,0.2806181066176471,5.164569854736328,False,,,10,344d9_00001,ac2ecd6f94f24141b72f99b77773caf3,2022-04-10_12-24-15,1649607855,58.97844910621643,2321,Cdots-Grand-Mesa,172.28.171.47,58.97844910621643,0,10,256,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649607658/DEFAULT_2022-04-10_12-20-58/DEFAULT_344d9_00001_1_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-10_12-20-59"
2,10,2.4066630111518483,0.3597739361702127,0.5890070921985815,2.9911260816115366,0.267009493670886,0.4693433544303797,13.032338857650757,False,,,10,344d9_00002,ca415f1756e641d0b0f201c88b1cd077,2022-04-10_12-26-34,1649607994,135.81486248970032,2317,Cdots-Grand-Mesa,172.28.171.47,135.81486248970032,0,10,64,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649607658/DEFAULT_2022-04-10_12-20-58/DEFAULT_344d9_00002_2_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-10_12-23-15"
3,9,2.6511018209987216,0.322265625,0.5416449652777778,3.289290130138397,0.2162109375,0.3948069852941177,5.146092414855957,False,,,9,344d9_00003,f06a6fd454db48b0b6a2e7697d31a8a6,2022-04-10_12-27-31,1649608051,53.757033824920654,2314,Cdots-Grand-Mesa,172.28.171.47,53.757033824920654,0,9,256,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649607658/DEFAULT_2022-04-10_12-20-58/DEFAULT_344d9_00003_3_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-10_12-24-17"
4,9,3.173925704144417,0.2109042553191489,0.399645390070922,3.364794266374805,0.1791930379746835,0.3666930379746835,12.635045051574709,False,,,9,344d9_00004,85d01b05bbb446b7a8d197267cf1bf4f,2022-04-10_12-29-41,1649608181,121.52338314056396,2315,Cdots-Grand-Mesa,172.28.171.47,121.52338314056396,0,9,64,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649607658/DEFAULT_2022-04-10_12-20-58/DEFAULT_344d9_00004_4_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-10_12-26-36"
5,9,3.100281404124366,0.2240017361111111,0.4198133680555556,3.5935571432113647,0.1644416360294117,0.3299747242647058,5.156601667404175,False,,,9,344d9_00005,36901d3aab4d4ab0aa3fa3ebb6cd10bd,2022-04-10_12-30-51,1649608251,53.65963864326477,2324,Cdots-Grand-Mesa,172.28.171.47,53.65963864326477,0,9,256,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649607658/DEFAULT_2022-04-10_12-20-58/DEFAULT_344d9_00005_5_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-10_12-27-38"
6,9,3.060361168908735,0.2276152482269503,0.4279920212765957,3.2512487218349797,0.1997626582278481,0.3870648734177215,16.515036821365356,False,,,9,344d9_00006,404e39a13b9d40f4b5be238a19d8e9e1,2022-04-10_12-33-37,1649608417,157.83314037322998,2310,Cdots-Grand-Mesa,172.28.171.47,157.83314037322998,0,9,64,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649607658/DEFAULT_2022-04-10_12-20-58/DEFAULT_344d9_00006_6_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-10_12-29-56"
7,10,2.715747939215766,0.2914496527777778,0.5162760416666666,3.1598930239677427,0.2186465992647059,0.4186580882352941,5.274141550064087,False,,,10,344d9_00007,23ac579f84e744c3ae574461c165e4ae,2022-04-10_12-34-57,1649608497,59.737555742263794,2319,Cdots-Grand-Mesa,172.28.171.47,59.737555742263794,0,10,256,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649607658/DEFAULT_2022-04-10_12-20-58/DEFAULT_344d9_00007_7_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-10_12-30-58"
8,9,3.680213764204201,0.1262854609929078,0.2678856382978724,3.769095454034926,0.1188686708860759,0.2557357594936709,15.78165054321289,False,,,9,344d9_00008,1eec118da6264ea9b03c878971d2a973,2022-04-10_12-37-35,1649608655,154.6679916381836,2312,Cdots-Grand-Mesa,172.28.171.47,154.6679916381836,0,9,64,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649607658/DEFAULT_2022-04-10_12-20-58/DEFAULT_344d9_00008_8_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-10_12-33-56"
9,10,3.631578650739458,0.1283203124999999,0.2752170138888889,3.8101178884506224,0.1014361213235294,0.2366957720588235,5.270702838897705,False,,,10,344d9_00009,ed8c134c3f4544d6a5ed0bb2f6246e32,2022-04-10_12-38-53,1649608733,59.6306266784668,2313,Cdots-Grand-Mesa,172.28.171.47,59.6306266784668,0,10,256,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649607658/DEFAULT_2022-04-10_12-20-58/DEFAULT_344d9_00009_9_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-10_12-34-59"
10,7,4.37542461503482,0.032136524822695,0.0814494680851063,4.386922335322899,0.0322389240506329,0.0858386075949367,16.701058387756348,False,,,7,344d9_00010,419a1c8dc2394c64b593a51d8502830b,2022-04-10_12-40-59,1649608859,122.52697730064392,2323,Cdots-Grand-Mesa,172.28.171.47,122.52697730064392,0,7,64,0.1,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649607658/DEFAULT_2022-04-10_12-20-58/DEFAULT_344d9_00010_10_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-10_12-37-53"
11,9,4.249216013484531,0.0422092013888888,0.1108289930555555,4.263336873054504,0.0427389705882352,0.1113051470588235,5.240447282791138,False,,,9,344d9_00011,f396027796404d03b55b24a0816c4c1a,2022-04-10_12-42-47,1649608967,54.20530271530152,2325,Cdots-Grand-Mesa,172.28.171.47,54.20530271530152,0,9,256,0.1,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649607658/DEFAULT_2022-04-10_12-20-58/DEFAULT_344d9_00011_11_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-10_12-38-56"
