,epoch,loss,accuracy,top_k_acc,val_loss,val_accuracy,val_top_k_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,config/data_loader;args;batch_size,config/optimizer;args;lr,config/optimizer;type,logdir
10,95,4.432395262075654,0.0245567375886524,0.0689494680851064,4.43974948231178,0.0316455696202531,0.0769382911392405,16.262292623519897,False,,,95,407a7_00010,c979993659f94e26b86c839cd400ef69,2022-04-07_18-20-28,1649370028,1578.7609086036682,1507,Cdots-Grand-Mesa,172.28.171.47,1578.7609086036682,0,95,64,0.1,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649358570/DEFAULT_2022-04-07_15-09-30/DEFAULT_407a7_00010_10_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-07_17-45-05"
11,88,3.9908058113522,0.0773871527777777,0.1839192708333333,4.052727627754211,0.0709443933823529,0.1656709558823529,5.273806095123291,False,,,88,407a7_00011,6255640b2eb1468d88c266d6e865778f,2022-04-07_18-29-51,1649370591,476.0777552127838,1511,Cdots-Grand-Mesa,172.28.171.47,476.0777552127838,0,88,256,0.1,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649358570/DEFAULT_2022-04-07_15-09-30/DEFAULT_407a7_00011_11_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-07_17-54-09"
12,91,0.0298382766901495,0.9984929078014184,1.0,2.731544654580611,0.4333465189873418,0.6323180379746836,12.385908126831056,False,,,91,407a7_00012,3d413c4867834fce8304b55c9a834eac,2022-04-07_18-50-19,1649371819,1161.5109839439392,1504,Cdots-Grand-Mesa,172.28.171.47,1161.5109839439392,0,91,64,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649358570/DEFAULT_2022-04-07_15-09-30/DEFAULT_407a7_00012_12_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-07_18-21-54"
13,95,0.8498370680544112,0.7985026041666666,0.9389539930555556,2.730535018444061,0.3424402573529411,0.5521369485294118,5.22118091583252,False,,,95,407a7_00013,541daed393bf41e9a082816ffebfc1a3,2022-04-07_19-00-48,1649372448,509.4883036613464,1508,Cdots-Grand-Mesa,172.28.171.47,509.4883036613464,0,95,256,0.001,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649358570/DEFAULT_2022-04-07_15-09-30/DEFAULT_407a7_00013_13_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=SGD_2022-04-07_18-30-57"
14,80,0.0096242478718413,1.0,1.0,2.207962339437461,0.5112737341772152,0.7124208860759493,12.420854091644289,False,,,80,407a7_00014,b229f751ca8f4e209dfbc37ede708ae2,2022-04-07_19-18-16,1649373496,1018.9819450378418,1514,Cdots-Grand-Mesa,172.28.171.47,1018.9819450378418,0,80,64,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649358570/DEFAULT_2022-04-07_15-09-30/DEFAULT_407a7_00014_14_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-07_18-52-17"
15,95,0.0093268022820767,0.9997829861111112,1.0,2.614203894138336,0.4613625919117646,0.6673483455882353,5.321558713912964,False,,,95,407a7_00015,1ea8ab48b6644ab09c95c52da03b583d,2022-04-07_19-31-05,1649374265,509.3238444328308,1505,Cdots-Grand-Mesa,172.28.171.47,509.3238444328308,0,95,256,0.01,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649358570/DEFAULT_2022-04-07_15-09-30/DEFAULT_407a7_00015_15_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-07_19-01-16"
16,92,0.2531555897377907,0.926640070921986,0.9895833333333334,2.644049727464024,0.4602452531645569,0.6730617088607594,13.274487018585203,False,,,92,407a7_00016,b20bd1d5a75f4cc486f196905c57b6ef,2022-04-07_19-51-18,1649375478,1183.5381660461426,15748,Cdots-Grand-Mesa,172.28.171.47,1183.5381660461426,0,92,64,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649358570/DEFAULT_2022-04-07_15-09-30/DEFAULT_407a7_00016_16_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-07_19-22-35"
17,100,0.0118934434786852,0.9998914930555556,1.0,2.222476834058761,0.4810891544117647,0.6744485294117647,5.489412069320679,False,,,100,407a7_00017,67eb3a39106644deab9f852e24e4b1c5,2022-04-07_20-01-58,1649376118,534.7292852401733,951,Cdots-Grand-Mesa,172.28.171.47,534.7292852401733,0,100,256,0.1,SGD,"/home/acui/projects/csc-2541-project/hyper_results/1649358570/DEFAULT_2022-04-07_15-09-30/DEFAULT_407a7_00017_17_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=SGD_2022-04-07_19-31-34"
18,84,0.2720893633598131,0.9194592198581562,0.9913563829787234,2.6269537768786466,0.470134493670886,0.6853243670886076,15.969869136810305,False,,,84,407a7_00018,9e80df6815f247f2b70e931512566cbe,2022-04-07_20-25-11,1649377511,1388.4393832683563,16985,Cdots-Grand-Mesa,172.28.171.47,1388.4393832683563,0,84,64,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649358570/DEFAULT_2022-04-07_15-09-30/DEFAULT_407a7_00018_18_data_loader;args;batch_size=64,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-07_19-53-02"
19,87,0.0515571626213689,0.9914279513888888,0.9997829861111112,2.5393645644187925,0.4838579963235294,0.6908547794117647,5.3718016147613525,False,,,87,407a7_00019,957ce65b46cb4c4692ca08941fb2a2d2,2022-04-07_20-37-33,1649378253,478.0239853858948,2335,Cdots-Grand-Mesa,172.28.171.47,478.0239853858948,0,87,256,0.001,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649358570/DEFAULT_2022-04-07_15-09-30/DEFAULT_407a7_00019_19_data_loader;args;batch_size=256,optimizer;args;lr=0.001,optimizer;type=Adam_2022-04-07_20-02-01"
20,99,2.897878406741095,0.2677526595744681,0.468395390070922,3.1814931857435007,0.2193433544303797,0.4020965189873418,16.372127056121826,False,,,99,407a7_00020,1547bce4351c4b5c877236e81fb3035e,2022-04-07_21-05-59,1649379959,1631.7002580165863,18249,Cdots-Grand-Mesa,172.28.171.47,1631.7002580165863,0,99,64,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649358570/DEFAULT_2022-04-07_15-09-30/DEFAULT_407a7_00020_20_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-07_20-29-35"
21,93,2.018206377824148,0.4421006944444444,0.6851779513888889,2.72302839756012,0.3245404411764706,0.5279296875,5.308079242706299,False,,,93,407a7_00021,7ddb0b21f08145ebbcd4560ad59e87a8,2022-04-07_21-14-45,1649380485,504.9793350696564,3599,Cdots-Grand-Mesa,172.28.171.47,504.9793350696564,0,93,256,0.01,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649358570/DEFAULT_2022-04-07_15-09-30/DEFAULT_407a7_00021_21_data_loader;args;batch_size=256,optimizer;args;lr=0.01,optimizer;type=Adam_2022-04-07_20-38-47"
22,95,4.432395262075654,0.0245567375886524,0.0689494680851064,4.43974948231178,0.0316455696202531,0.0769382911392405,16.570587158203125,False,,,95,407a7_00022,dcb1a0cba8c5433696b4742c13be908a,2022-04-07_21-41-40,1649382100,1574.0318803787231,19615,Cdots-Grand-Mesa,172.28.171.47,1574.0318803787231,0,95,64,0.1,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649358570/DEFAULT_2022-04-07_15-09-30/DEFAULT_407a7_00022_22_data_loader;args;batch_size=64,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-07_21-06-19"
23,88,3.9908058113522,0.0773871527777777,0.1839192708333333,4.052727627754211,0.0709443933823529,0.1656709558823529,5.282412052154541,False,,,88,407a7_00023,0aa4fd76207e4332ab04f9bce9554fec,2022-04-07_21-51-03,1649382663,477.82036447525024,4979,Cdots-Grand-Mesa,172.28.171.47,477.82036447525024,0,88,256,0.1,Adam,"/home/acui/projects/csc-2541-project/hyper_results/1649358570/DEFAULT_2022-04-07_15-09-30/DEFAULT_407a7_00023_23_data_loader;args;batch_size=256,optimizer;args;lr=0.1,optimizer;type=Adam_2022-04-07_21-15-25"
