,epoch,loss,accuracy,top_k_acc,val_loss,val_accuracy,val_top_k_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,config/data_loader;args;batch_size,config/optimizer;args;lr,config/optimizer;type,logdir
2,70,0.024142,0.998116,1,4.756546,0.153085,0.310522,9.803479,FALSE,,,70,97b33_00002,cefe9657d5834fa1bed17426b3023718,2022-04-06_12-28-05,1.65E+09,690.6789,3940977,guanyush-RTX3060,10.70.2.70,690.6789,0,70,64,0.01,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00002_2_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-06_12-02-17"
14,70,0.024142,0.998116,1,4.756546,0.153085,0.310522,9.778494,FALSE,,,70,97b33_00014,6a55e86e004749318a6e9e5d6a03413b,2022-04-06_15-34-03,1.65E+09,689.382,3940971,guanyush-RTX3060,10.70.2.70,689.382,0,70,64,0.01,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00014_14_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-06_15-08-32"
26,70,0.024142,0.998116,1,4.756546,0.153085,0.310522,9.859468,FALSE,,,70,97b33_00026,6e92f9fa781944b89da02067ae028ada,2022-04-06_18-39-20,1.65E+09,693.6007,189913,guanyush-RTX3060,10.70.2.70,693.6007,0,70,64,0.01,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00026_26_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-06_18-13-37"
38,70,0.024142,0.998116,1,4.756546,0.153085,0.310522,9.963952,FALSE,,,70,97b33_00038,a51213079ae04ccbb72bdfb2287dcb3a,2022-04-06_21-44-11,1.65E+09,691.7634,397688,guanyush-RTX3060,10.70.2.70,691.7634,0,70,64,0.01,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00038_38_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-06_21-18-35"
50,70,0.024142,0.998116,1,4.756546,0.153085,0.310522,9.865688,FALSE,,,70,97b33_00050,9bb4a6aa57d24c0fb50330d3039b4a21,2022-04-07_00-49-01,1.65E+09,691.8192,602684,guanyush-RTX3060,10.70.2.70,691.8192,0,70,64,0.01,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00050_50_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-07_00-23-24"
62,70,0.024142,0.998116,1,4.756546,0.153085,0.310522,9.83468,FALSE,,,70,97b33_00062,fe9c5ec6e67c486f9337fea308762703,2022-04-07_03-54-11,1.65E+09,690.805,807909,guanyush-RTX3060,10.70.2.70,690.805,0,70,64,0.01,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00062_62_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-07_03-28-36"
74,70,0.024142,0.998116,1,4.756546,0.153085,0.310522,9.77651,FALSE,,,70,97b33_00074,c97aa783ed8e49209ee28b62d2017479,2022-04-07_06-58-47,1.65E+09,687.3788,1023126,guanyush-RTX3060,10.70.2.70,687.3788,0,70,64,0.01,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00074_74_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-07_06-33-18"
86,70,0.024142,0.998116,1,4.756546,0.153085,0.310522,9.803313,FALSE,,,70,97b33_00086,d5419913de2341438efdda9f559efee5,2022-04-07_10-03-11,1.65E+09,688.7137,1233763,guanyush-RTX3060,10.70.2.70,688.7137,0,70,64,0.01,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00086_86_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-07_09-37-41"
98,70,0.024142,0.998116,1,4.756546,0.153085,0.310522,9.777981,FALSE,,,70,97b33_00098,be8ccd64093744a5a6463f4a54a9cbb0,2022-04-07_13-07-35,1.65E+09,688.7343,1438751,guanyush-RTX3060,10.70.2.70,688.7343,0,70,64,0.01,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00098_98_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-07_12-42-08"
110,70,0.024142,0.998116,1,4.756546,0.153085,0.310522,10.16856,FALSE,,,70,97b33_00110,97b4c5abe69c4fac8defc1adda0b2581,2022-04-07_16-20-37,1.65E+09,732.8169,1642073,guanyush-RTX3060,10.70.2.70,732.8169,0,70,64,0.01,SGD,"/home/guanyush/Pictures/csc-2541-project/hyper_results/1649259932/DEFAULT_2022-04-06_11-45-32/DEFAULT_97b33_00110_110_data_loader;args;batch_size=64,optimizer;args;lr=0.01,optimizer;type=SGD_2022-04-07_15-53-27"
